Player,Pos,Tm,Cap Hit,year
Kirk Cousins,QB,MIN,"$22,500,000",2018
Demarcus Lawrence,DE,DAL,"$17,143,000",2018
Ezekiel Ansah,DE,DET,"$17,143,000",2018
Russell Wilson,QB,SEA,"$15,500,000",2018
Calais Campbell,DE,JAX,"$15,000,000",2018
Justin Houston,LB,KAN,"$14,750,000",2018
Cam Newton,QB,CAR,"$14,500,000",2018
Ndamukong Suh,DT,LAR,"$14,000,000",2018
Andy Dalton,QB,CIN,"$13,700,000",2018
Malik Jackson,DT,JAX,"$13,500,000",2018
Josh Norman,CB,WAS,"$13,300,000",2018
A.J. Bouye,CB,JAX,"$13,000,000",2018
Alex Smith,QB,WAS,"$13,000,000",2018
Olivier Vernon,DE,NYG,"$12,750,000",2018
Chandler Jones,DE,ARI,"$12,500,000",2018
Kawann Short,DT,CAR,"$12,500,000",2018
DeAndre Hopkins,WR,HOU,"$12,500,000",2018
Anthony Barr,OLB,MIN,"$12,306,000",2018
Jadeveon Clowney,DE,HOU,"$12,306,000",2018
Gerald McCoy,DT,TAM,"$12,250,000",2018
Russell Okung,T,LAC,"$12,000,000",2018
Ben Roethlisberger,QB,PIT,"$12,000,000",2018
Joe Flacco,QB,BAL,"$12,000,000",2018
Andrew Luck,QB,IND,"$12,000,000",2018
Fletcher Cox,DT,PHI,"$11,500,000",2018
Lamarcus Joyner,CB,LAR,"$11,287,000",2018
Melvin Ingram,DE,LAC,"$11,250,000",2018
Jason Pierre-Paul,DE,TAM,"$11,250,000",2018
Eric Fisher,OT,KAN,"$11,150,000",2018
Larry Fitzgerald,WR,ARI,"$11,000,000",2018
J.J. Watt,DE,HOU,"$11,000,000",2018
Aqib Talib,DB,LAR,"$11,000,000",2018
Patrick Peterson,CB,ARI,"$11,000,000",2018
DeSean Jackson,WR,TAM,"$11,000,000",2018
T.Y. Hilton,WR,IND,"$11,000,000",2018
Jamie Collins,OLB,CLE,"$10,650,000",2018
Jurrell Casey,DL,TEN,"$10,600,000",2018
A.J. Green,WR,CIN,"$10,550,000",2018
Clay Matthews,LB,GNB,"$10,400,000",2018
Xavier Rhodes,CB,MIN,"$10,400,000",2018
Robert Quinn,DE,MIA,"$10,333,301",2018
Terron Armstead,OT,NOR,"$10,200,000",2018
Drew Brees,QB,NOR,"$10,200,000",2018
Bobby Wagner,ILB,SEA,"$10,000,000",2018
Kevin Zeitler,G,CLE,"$10,000,000",2018
Logan Ryan,CB,TEN,"$10,000,000",2018
Tyron Smith,OT,DAL,"$10,000,000",2018
Philip Rivers,QB,LAC,"$10,000,000",2018
Tyrod Taylor,QB,CLE,"$10,000,000",2018
Marcell Dareus,DT,JAX,"$9,925,000",2018
Trent Williams,T,WAS,"$9,850,000",2018
Kelechi Osemele,T,OAK,"$9,700,000",2018
Matthew Stafford,QB,DET,"$9,500,000",2018
Ja'Wuan James,OT,MIA,"$9,341,000",2018
Cordy Glenn,T,CIN,"$9,250,000",2018
Riley Reiff,OT,MIN,"$9,100,000",2018
Julio Jones,WR,ATL,"$9,000,000",2018
Brandon Linder,OG,JAX,"$9,000,000",2018
Ryan Kerrigan,DE,WAS,"$9,000,000",2018
Robert Alford,CB,ATL,"$9,000,000",2018
Joe Haden,DB,PIT,"$9,000,000",2018
Eric Berry,DB,KAN,"$8,900,000",2018
Lavonte David,OLB,TAM,"$8,750,000",2018
Dee Ford,DE,KAN,"$8,718,000",2018
C.J. Mosley,ILB,BAL,"$8,718,000",2018
Deone Bucannon,SS,ARI,"$8,718,000",2018
Cameron Jordan,DE,NOR,"$8,650,000",2018
Randall Cobb,WR,GNB,"$8,600,000",2018
Bradley Roby,CB,DEN,"$8,526,000",2018
Darqueze Dennard,CB,CIN,"$8,526,000",2018
Jimmie Ward,SS,SFO,"$8,526,000",2018
Earl Thomas,DB,SEA,"$8,500,000",2018
Alex Mack,C,ATL,"$8,500,000",2018
Desmond Trufant,CB,ATL,"$8,500,000",2018
Stephon Gilmore,CB,NWE,"$8,500,000",2018
Demaryius Thomas,WR,2TM,"$8,500,000",2018
Kelvin Benjamin,WR,2TM,"$8,459,000",2018
Mike Evans,WR,TAM,"$8,258,000",2018
Doug Baldwin,WR,SEA,"$8,250,000",2018
Jordan Reed,TE,WAS,"$8,250,000",2018
Emmanuel Sanders,WR,DEN,"$8,250,000",2018
Joe Staley,T,SFO,"$8,025,000",2018
Rob Gronkowski,TE,NWE,"$8,000,000",2018
Geno Atkins,DT,CIN,"$8,000,000",2018
Case Keenum,QB,DEN,"$8,000,000",2018
Buster Skrine,DB,NYJ,"$8,000,000",2018
T.J. Lang,T,DET,"$8,000,000",2018
Kelvin Beachum,T,NYJ,"$8,000,000",2018
Derek Wolfe,DT,DEN,"$8,000,000",2018
Cameron Wake,LB,MIA,"$8,000,000",2018
Kenny Stills,WR,MIA,"$7,975,000",2018
Jonotthan Harrison,C,NYJ,"$7,900,000",2018
Andre Branch,DE,MIA,"$7,900,000",2018
Kiko Alonso,ILB,MIA,"$7,875,000",2018
Damon Harrison,DT,2TM,"$7,750,000",2018
Ronald Leary,G,DEN,"$7,650,000",2018
Harrison Smith,FS,MIN,"$7,650,000",2018
Keenan Allen,WR,LAC,"$7,500,000",2018
Devin McCourty,DB,NWE,"$7,500,000",2018
Chris Harris,CB,DEN,"$7,400,000",2018
Derek Carr,QB,OAK,"$7,400,000",2018
Brian Orakpo,LB,TEN,"$7,250,000",2018
K.J. Wright,LB,SEA,"$7,200,000",2018
Marshal Yanda,T,BAL,"$7,000,000",2018
Sean Lee,LB,DAL,"$7,000,000",2018
Khalil Mack,OLB,CHI,"$7,000,000",2018
Golden Tate,WR,2TM,"$7,000,000",2018
Marvin Jones,WR,DET,"$7,000,000",2018
Brandon Graham,DE,PHI,"$7,000,000",2018
Jabaal Sheard,DL,IND,"$7,000,000",2018
Maurkice Pouncey,C,PIT,"$7,000,000",2018
Brian Winters,OG,NYJ,"$7,000,000",2018
Jimmy Smith,CB,BAL,"$6,882,353",2018
Travis Kelce,TE,KAN,"$6,800,000",2018
Jason Peters,T,PHI,"$6,750,000",2018
Pierre Garcon,WR,SFO,"$6,625,000",2018
Mike Daniels,DT,GNB,"$6,600,000",2018
William Gholston,DE,TAM,"$6,500,000",2018
Jared Veldheer,T,DEN,"$6,500,000",2018
Eric Weddle,DB,BAL,"$6,500,000",2018
Jordan Jenkins,OLB,NYJ,"$6,500,000",2018
Kareem Jackson,DB,HOU,"$6,500,000",2018
Derrick Morgan,DE,TEN,"$6,500,000",2018
Mark Barron,LB,LAR,"$6,499,999",2018
Janoris Jenkins,CB,NYG,"$6,400,000",2018
Jerry Hughes,DE,BUF,"$6,350,000",2018
Duane Brown,G,SEA,"$6,250,000",2018
Mario Addison,DE,CAR,"$6,250,000",2018
Jimmy Garoppolo,QB,SFO,"$6,200,000",2018
Mohamed Sanu,WR,ATL,"$6,125,000",2018
LeSean McCoy,RB,BUF,"$6,075,000",2018
Kyle Rudolph,TE,MIN,"$6,025,000",2018
Anthony Castonzo,OL,IND,"$6,000,000",2018
Matt Ryan,QB,ATL,"$6,000,000",2018
Dion Sims,TE,CHI,"$6,000,000",2018
Jason Kelce,OL,PHI,"$6,000,000",2018
Rodney McLeod,S,PHI,"$6,000,000",2018
Tyrone Crawford,DE,DAL,"$6,000,000",2018
Trumaine Johnson,CB,NYJ,"$6,000,000",2018
Ha Ha Clinton-Dix,FS,2TM,"$5,957,000",2018
Nate Solder,T,NYG,"$5,900,000",2018
Bryan Bulaga,T,GNB,"$5,850,000",2018
Jourdan Lewis,CB,DAL,"$5,800,000",2018
Danny Trevathan,OLB,CHI,"$5,800,000",2018
Sheldon Richardson,DT,MIN,"$5,800,000",2018
Tashaun Gipson,DB,JAX,"$5,750,000",2018
Dont'a Hightower,ILB,NWE,"$5,750,000",2018
Travis Benjamin,WR,LAC,"$5,750,000",2018
Mitchell Schwartz,T,KAN,"$5,700,000",2018
Donte Moncrief,WR,JAX,"$5,600,000",2018
Joel Bitonio,OT,CLE,"$5,500,000",2018
Jake Matthews,OT,ATL,"$5,500,000",2018
Allen Bailey,DL,KAN,"$5,400,000",2018
Rodger Saffold,T,LAR,"$5,375,000",2018
Michael Brockers,DT,LAR,"$5,250,000",2018
Jermaine Gresham,TE,ARI,"$5,250,000",2018
Mike Iupati,G,ARI,"$5,000,000",2018
J.C. Tretter,OG,CLE,"$5,000,000",2018
Ryan Schraeder,T,ATL,"$5,000,000",2018
Sam Bradford,QB,ARI,"$5,000,000",2018
Josh McCown,QB,NYJ,"$5,000,000",2018
Torrey Smith,WR,CAR,"$5,000,000",2018
Jared Cook,TE,OAK,"$5,000,000",2018
Brandon Marshall,OLB,DEN,"$5,000,000",2018
Mike Pouncey,OL,LAC,"$5,000,000",2018
Blake Bortles,QB,JAX,"$5,000,000",2018
Christian Kirksey,OLB,CLE,"$5,000,000",2018
Spencer Long,OG,NYJ,"$5,000,000",2018
Jermaine Kearse,WR,NYJ,"$5,000,000",2018
Lamar Miller,RB,HOU,"$5,000,000",2018
Charles Leno,OG,CHI,"$4,900,000",2018
